sep=	
Shimmer__TimestampSync_Unix_CAL	Shimmer__PPG_A13_CAL
ms	mV
1784681699011.97998047	1248.700770
1784681699016.97998047	1319.803338
1784681699021.97998047	1421.271642
1784681699026.97998047	1458.102878
1784681699031.97998047	1526.485512
1784681699036.97998047	1625.725975
1784681699041.97998047	1668.193104
1784681699046.97998047	1700.959723
1784681699051.97998047	1779.262781
1784681699056.97998047	1850.002780
1784681699061.97998047	1948.225594
1784681699066.97998047	1994.426149
1784681699071.97998047	2057.148847
1784681699076.97998047	2111.442847
1784681699081.97998047	2156.191230
1784681699086.97998047	2258.916484
1784681699091.97998047	2286.623194
1784681699096.97998047	2288.285025
1784681699101.97998047	2389.923719
1784681699106.97998047	2411.932519
1784681699111.97998047	2442.640252
1784681699116.97998047	2499.285820
1784681699121.97998047	2519.756677
1784681699126.97998047	2559.274360
1784681699131.97998047	2591.849598
1784681699136.97998047	2598.033066
1784681699141.97998047	2672.868817
1784681699146.97998047	2680.481978
1784681699151.97998047	2672.947348
1784681699156.97998047	2736.126647
1784681699161.97998047	2732.025392
1784681699166.97998047	2727.215472
1784681699171.97998047	2757.891979
1784681699176.97998047	2761.758869
1784681699181.97998047	2762.255284
1784681699186.97998047	2758.733931
1784681699191.97998047	2752.777540
1784681699196.97998047	2734.890239
1784681699201.97998047	2722.219204
1784681699206.97998047	2710.806978
1784681699211.97998047	2692.552273
1784681699216.97998047	2688.350357
1784681699221.97998047	2651.371006
1784681699226.97998047	2702.406905
1784681699231.97998047	2663.779909
1784681699236.97998047	2596.055438
1784681699241.97998047	2587.715602
1784681699246.97998047	2562.104205
1784681699251.97998047	2561.153786
1784681699256.97998047	2516.498042
1784681699261.97998047	2494.373541
1784681699266.97998047	2458.443032
1784681699271.97998047	2426.460728
1784681699276.97998047	2421.623092
1784681699281.97998047	2355.328712
1784681699286.97998047	2354.459388
1784681699291.97998047	2256.168342
1784681699296.97998047	2260.614834
1784681699301.97998047	2211.987110
1784681699306.97998047	2173.272638
1784681699311.97998047	2134.901105
1784681699316.97998047	2074.588773
1784681699321.97998047	2034.340175
1784681699326.97998047	1976.122474
1784681699331.97998047	1929.756003
1784681699336.97998047	1911.265566
1784681699341.97998047	1867.574504
1784681699346.97998047	1812.614373
1784681699351.97998047	1782.598287
1784681699356.97998047	1757.543059
1784681699361.97998047	1659.042581
1784681699366.97998047	1575.086465
1784681699371.97998047	1594.034244
1784681699376.97998047	1512.791947
1784681699381.97998047	1466.847381
1784681699386.97998047	1455.496855
1784681699391.97998047	1384.586655
1784681699396.97998047	1322.255454
1784681699401.97998047	1307.944638
1784681699406.97998047	1260.616644
1784681699411.97998047	1224.172988
1784681699416.97998047	1194.166255
1784681699421.97998047	1143.332761
1784681699426.97998047	1129.932258
1784681699431.97998047	1081.064894
1784681699436.97998047	1062.773884
1784681699441.97998047	1051.058267
1784681699446.97998047	1013.195759
1784681699451.97998047	975.779939
1784681699456.97998047	985.544911
1784681699461.97998047	965.179424
1784681699466.97998047	941.473028
1784681699471.97998047	922.893111
1784681699476.97998047	895.531533
1784681699481.97998047	927.549646
1784681699486.97998047	882.750386
1784681699491.97998047	934.968566
1784681699496.97998047	920.243169
1784681699501.97998047	884.985453
1784681699506.97998047	870.838647
1784681699511.97998047	880.190015
1784681699516.97998047	903.721522
1784681699521.97998047	898.770495
1784681699526.97998047	902.580376
1784681699531.97998047	896.797849
1784681699536.97998047	921.463240
1784681699541.97998047	913.195970
1784681699546.97998047	901.826806
1784681699551.97998047	933.404098
1784681699556.97998047	964.521382
1784681699561.97998047	938.866850
1784681699566.97998047	965.668640
1784681699571.97998047	923.010903
1784681699576.97998047	954.679800
1784681699581.97998047	965.026142
1784681699586.97998047	957.817370
1784681699591.97998047	949.283879
1784681699596.97998047	927.889557
1784681699601.97998047	915.366103
1784681699606.97998047	901.652600
1784681699611.97998047	912.406834
1784681699616.97998047	877.222398
1784681699621.97998047	870.763678
1784681699626.97998047	858.256268
1784681699631.97998047	881.603285
1784681699636.97998047	811.751657
1784681699641.97998047	808.477913
1784681699646.97998047	783.446446
1784681699651.97998047	740.149468
1784681699656.97998047	735.106690
1784681699661.97998047	742.498591
1784681699666.97998047	699.936530
1784681699671.97998047	669.560766
1784681699676.97998047	638.960883
1784681699681.97998047	586.184126
1784681699686.97998047	631.196792
1784681699691.97998047	562.477291
1784681699696.97998047	591.718095
1784681699701.97998047	602.739318
1784681699706.97998047	526.013254
1784681699711.97998047	562.226557
1784681699716.97998047	539.462941
1784681699721.97998047	513.224037
1784681699726.97998047	517.980033
1784681699731.97998047	523.670274
1784681699736.97998047	556.476525
1784681699741.97998047	553.332570
1784681699746.97998047	615.958731
1784681699751.97998047	668.041240
1784681699756.97998047	628.354602
1784681699761.97998047	702.100127
1784681699766.97998047	738.111889
1784681699771.97998047	769.803454
1784681699776.97998047	787.336387
1784681699781.97998047	853.216641
1784681699786.97998047	901.667079
1784681699791.97998047	973.552892
1784681699796.97998047	1012.965804
1784681699801.97998047	1100.909106
1784681699806.97998047	1137.375257
1784681699811.97998047	1231.650383
1784681699816.97998047	1257.248133
1784681699821.97998047	1322.232040
1784681699826.97998047	1482.679869
1784681699831.97998047	1480.812901
1784681699836.97998047	1566.916672
1784681699841.97998047	1645.641395
1784681699846.97998047	1694.996723
1784681699851.97998047	1786.231991
1784681699856.97998047	1853.622094
1784681699861.97998047	1911.087117
1784681699866.97998047	1984.349819
1784681699871.97998047	2048.220083
1784681699876.97998047	2155.266615
1784681699881.97998047	2159.357366
1784681699886.97998047	2211.215390
1784681699891.97998047	2290.105168
1784681699896.97998047	2348.858681
1784681699901.97998047	2401.612565
1784681699906.97998047	2430.754177
1784681699911.97998047	2462.398771
1784681699916.97998047	2549.299899
1784681699921.97998047	2553.987731
1784681699926.97998047	2577.158098
1784681699931.97998047	2619.764534
1784681699936.97998047	2647.113807
1784681699941.97998047	2696.398203
1784681699946.97998047	2695.658912
1784681699951.97998047	2725.493006
1784681699956.97998047	2713.631636
1784681699961.97998047	2737.954936
1784681699966.97998047	2734.157883
1784681699971.97998047	2746.566613
1784681699976.97998047	2727.934288
1784681699981.97998047	2718.043755
1784681699986.97998047	2779.983289
1784681699991.97998047	2745.302214
1784681699996.97998047	2699.088078
1784681700001.97998047	2700.395355
1784681700006.97998047	2675.192665
1784681700011.97998047	2727.033799
1784681700016.97998047	2691.420128
1784681700021.97998047	2640.022890
1784681700026.97998047	2634.457210
1784681700031.97998047	2591.754949
1784681700036.97998047	2565.206920
1784681700041.97998047	2531.946415
1784681700046.97998047	2507.158716
1784681700051.97998047	2521.792744
1784681700056.97998047	2455.849962
1784681700061.97998047	2425.942821
1784681700066.97998047	2393.568429
1784681700071.97998047	2377.028401
1784681700076.97998047	2304.328831
1784681700081.97998047	2255.700686
1784681700086.97998047	2268.641719
1784681700091.97998047	2184.610006
1784681700096.97998047	2136.065108
1784681700101.97998047	2081.748878
1784681700106.97998047	2035.658748
1784681700111.97998047	2003.768995
1784681700116.97998047	1980.616619
1784681700121.97998047	1942.682649
1784681700126.97998047	1886.205098
1784681700131.97998047	1815.816435
1784681700136.97998047	1774.930191
1784681700141.97998047	1710.049547
1784681700146.97998047	1660.125232
1784681700151.97998047	1642.582631
1784681700156.97998047	1555.267508
1784681700161.97998047	1565.828841
1784681700166.97998047	1476.702935
1784681700171.97998047	1435.421097
1784681700176.97998047	1370.008286
1784681700181.97998047	1328.158972
1784681700186.97998047	1269.582365
1784681700191.97998047	1250.131352
1784681700196.97998047	1221.803377
1784681700201.97998047	1181.475834
1784681700206.97998047	1123.010382
1784681700211.97998047	1088.744150
1784681700216.97998047	1062.694477
1784681700221.97998047	1073.331763
1784681700226.97998047	993.870499
1784681700231.97998047	988.837468
1784681700236.97998047	1008.902547
1784681700241.97998047	949.922440
1784681700246.97998047	908.471707
1784681700251.97998047	908.704571
1784681700256.97998047	920.584983
1784681700261.97998047	894.698307
1784681700266.97998047	884.655923
1784681700271.97998047	884.912698
1784681700276.97998047	891.556541
1784681700281.97998047	921.552786
1784681700286.97998047	889.331049
1784681700291.97998047	915.708092
1784681700296.97998047	910.938593
1784681700301.97998047	901.283436
1784681700306.97998047	878.882754
1784681700311.97998047	905.599256
1784681700316.97998047	912.942712
1784681700321.97998047	930.381209
1784681700326.97998047	961.864970
1784681700331.97998047	987.622673
1784681700336.97998047	977.852622
1784681700341.97998047	948.393745
1784681700346.97998047	918.890440
1784681700351.97998047	947.830168
1784681700356.97998047	957.429549
1784681700361.97998047	970.899184
1784681700366.97998047	969.802811
1784681700371.97998047	958.906319
1784681700376.97998047	910.042190
1784681700381.97998047	945.704434
1784681700386.97998047	908.589745
1784681700391.97998047	907.913550
1784681700396.97998047	890.967102
1784681700401.97998047	881.367075
1784681700406.97998047	855.032691
1784681700411.97998047	801.502047
1784681700416.97998047	828.668651
1784681700421.97998047	799.746028
1784681700426.97998047	764.048087
1784681700431.97998047	748.579641
1784681700436.97998047	725.563263
1784681700441.97998047	704.084584
1784681700446.97998047	709.697001
1784681700451.97998047	650.476124
1784681700456.97998047	637.288724
1784681700461.97998047	637.791947
1784681700466.97998047	617.762091
1784681700471.97998047	603.919686
1784681700476.97998047	556.197028
1784681700481.97998047	597.224477
1784681700486.97998047	550.916884
1784681700491.97998047	582.570063
1784681700496.97998047	517.346030
1784681700501.97998047	547.607950
1784681700506.97998047	578.887085
1784681700511.97998047	550.312735
1784681700516.97998047	564.439745
1784681700521.97998047	579.830249
1784681700526.97998047	600.938654
1784681700531.97998047	640.926683
1784681700536.97998047	688.243706
1784681700541.97998047	677.495457
1784681700546.97998047	762.292456
1784681700551.97998047	827.042830
1784681700556.97998047	891.136927
1784681700561.97998047	928.109445
1784681700566.97998047	972.321417
1784681700571.97998047	980.898761
1784681700576.97998047	1064.521465
1784681700581.97998047	1133.201265
1784681700586.97998047	1220.258515
1784681700591.97998047	1271.943089
1784681700596.97998047	1318.329872
1784681700601.97998047	1447.862172
1784681700606.97998047	1503.937250
1784681700611.97998047	1562.498462
1784681700616.97998047	1654.297430
1784681700621.97998047	1675.135288
1784681700626.97998047	1786.545717
1784681700631.97998047	1833.396233
1784681700636.97998047	1926.838247
1784681700641.97998047	1979.732449
1784681700646.97998047	2059.581556
1784681700651.97998047	2137.525422
1784681700656.97998047	2172.526079
1784681700661.97998047	2251.745529
1784681700666.97998047	2263.889241
1784681700671.97998047	2326.564433
1784681700676.97998047	2421.645379
1784681700681.97998047	2445.875453
1784681700686.97998047	2441.053488
1784681700691.97998047	2495.217068
1784681700696.97998047	2555.461551
1784681700701.97998047	2610.324212
1784681700706.97998047	2621.048591
1784681700711.97998047	2662.207874
1784681700716.97998047	2692.134701
1784681700721.97998047	2726.247627
1784681700726.97998047	2710.523722
1784681700731.97998047	2721.721576
1784681700736.97998047	2697.921881
1784681700741.97998047	2742.161324
1784681700746.97998047	2732.990305
1784681700751.97998047	2726.370261
1784681700756.97998047	2740.955000
1784681700761.97998047	2760.944037
1784681700766.97998047	2694.380808
1784681700771.97998047	2716.886401
1784681700776.97998047	2716.670201
1784681700781.97998047	2683.187216
1784681700786.97998047	2692.345626
1784681700791.97998047	2676.502517
1784681700796.97998047	2648.291143
1784681700801.97998047	2578.458274
1784681700806.97998047	2656.244410
1784681700811.97998047	2576.024734
1784681700816.97998047	2566.802371
1784681700821.97998047	2531.284418
1784681700826.97998047	2516.761820
1784681700831.97998047	2481.551705
1784681700836.97998047	2428.443280
1784681700841.97998047	2406.191677
1784681700846.97998047	2344.295681
1784681700851.97998047	2343.543010
1784681700856.97998047	2279.050697
1784681700861.97998047	2297.184677
1784681700866.97998047	2175.166193
1784681700871.97998047	2157.060926
1784681700876.97998047	2139.879648
1784681700881.97998047	2089.554274
1784681700886.97998047	2022.568874
1784681700891.97998047	1968.545606
1784681700896.97998047	1944.707798
1784681700901.97998047	1894.192239
1784681700906.97998047	1810.774906
1784681700911.97998047	1798.944910
1784681700916.97998047	1753.442067
1784681700921.97998047	1704.374039
